_id,Year,Province,Grade,Male,Female
559,2015.0,Balochistan,8,443,11
560,2015.0,Balochistan,7,360,5
561,2015.0,Balochistan,6,2306,14
562,2015.0,Balochistan,5,2115,11
563,2015.0,Balochistan,4,901,4
564,2015.0,Balochistan,3,273,3
565,2015.0,Balochistan,2,3040,26
566,2015.0,Balochistan,1,6843,97
567,2015.0,Gilgit-Baltistan,20,1,
568,2015.0,Gilgit-Baltistan,19,10,
569,2015.0,Gilgit-Baltistan,18,29,2
570,2015.0,Gilgit-Baltistan,17,56,4
571,2015.0,Gilgit-Baltistan,16,96,6
572,2015.0,Gilgit-Baltistan,15,31,
573,2015.0,Gilgit-Baltistan,14,8,
574,2015.0,Gilgit-Baltistan,13,47,10
575,2015.0,Gilgit-Baltistan,11,27,
576,2015.0,Gilgit-Baltistan,10,34,
577,2015.0,Gilgit-Baltistan,8,43,
578,2015.0,Gilgit-Baltistan,7,1,10
579,2015.0,Gilgit-Baltistan,6,147,
580,2015.0,Gilgit-Baltistan,5,1,
581,2015.0,Gilgit-Baltistan,4,86,3
582,2015.0,Gilgit-Baltistan,3,26,
583,2015.0,Gilgit-Baltistan,2,3,
584,2015.0,Gilgit-Baltistan,1,105,
585,2016.0,Punjab,22,1,0
586,2016.0,Punjab,21,5,0
587,2016.0,Punjab,20,40,5
588,2016.0,Punjab,19,437,55
589,2016.0,Punjab,18,1518,197
590,2016.0,Punjab,17,4846,2096
591,2016.0,Punjab,16,3272,1144
592,2016.0,Punjab,15,542,61
593,2016.0,Punjab,14,3727,271
594,2016.0,Punjab,13,36,6
595,2016.0,Punjab,12,355,53
596,2016.0,Punjab,11,5388,1208
597,2016.0,Punjab,10,79,104
598,2016.0,Punjab,9,6149,1191
599,2016.0,Punjab,8,228,182
600,2016.0,Punjab,7,937,44
601,2016.0,Punjab,6,1009,210
602,2016.0,Punjab,5,3869,1953
603,2016.0,Punjab,4,2351,71
604,2016.0,Punjab,3,677,56
605,2016.0,Punjab,2,4116,175
606,2016.0,Punjab,1,20351,2425
607,2016.0,Sindh,21,2,
608,2016.0,Sindh,20,9,0
609,2016.0,Sindh,19,62,39
610,2016.0,Sindh,18,208,95
611,2016.0,Sindh,17,438,132
612,2016.0,Sindh,16,346,93
613,2016.0,Sindh,15,13,0
614,2016.0,Sindh,14,408,116
615,2016.0,Sindh,13,6,0
616,2016.0,Sindh,12,86,1
617,2016.0,Sindh,11,493,461
618,2016.0,Sindh,10,4,0
619,2016.0,Sindh,9,519,2
620,2016.0,Sindh,8,2,673
621,2016.0,Sindh,7,251,100
622,2016.0,Sindh,6,20,0
623,2016.0,Sindh,5,1366,1037
624,2016.0,Sindh,4,195,0
625,2016.0,Sindh,3,12,0
626,2016.0,Sindh,2,1956,1199
627,2016.0,Sindh,1,1907,1
628,2016.0,KPK,21,10,0
629,2016.0,KPK,20,58,1
630,2016.0,KPK,19,101,7
631,2016.0,KPK,18,120,11
